
from various places on the Internet:

BEGIN

Common Nicknames & Their Given Name Equivalents

It is common in many genealogical records, especially more informal records
such as census records and obituaries, to find your ancestors listed under
names you might not expect. In many cases these names may have been the
nicknames that they were known by to their family and friends. Learn which
nicknames may have been used by your ancestors in this list of common
nicknames in genealogy.


Nicknames                         Given Names

Ab                                Abner, Albert
Abbie, Abby                       Abigail, Tabitha
Abe                               Abel, Abiel
Abe, Abram                        Abraham
Acer                              Acera
Ada                               Adeline
Addie, Addy                       Adelaide, Adeline
Ag                                Agatha
Aggie                             Agnes
Aggy, Agnes                       Agatha
Agnes                             Inez, Nancy
Al                                Alan, Albert, Alexander, Alfred, Allen
Alec, Alex                        Alexander
Alf                               Alfons, Alfred
Allie, Elsie                      Alice
Amelia                            Emilia, Emile
Amy                               Amanda, Amelia
Andrl, Andy                       Andreas, Andrew
Angie                             Angela, Angeline
Ann, Anne                         Deanne, Hannah, Susanna
Anna                              Hannah, Susanna
Anner                             Hannah
Annette, Anni, Annie              Ann, Anna, Annika, Hannah, Susanna
Anton                             Antonin
Anty                              Anastasia
Appy                              Apollonia
Arch, Archie, Archy               Archibald
Arnie, Arny                       Arnold
Art, Arty                         Artemis, Arthur
Augie                             Augustus
Bab, Babbie, Babs, Barb           Barbara
Babe                              Mary (or used as a name for the baby of the family)
Barney                            Barnabas
Bart, Bartl, Barty, Bat           Bartholomew
Bass, Bastl                       Sebastian
Bea                               Beatrice, Beatta
Beattie, Bebe                     Beatrice
Becca, Becky                      Rebecca
Bede                              Obedience
Bell, Bella, Belle                Arabella, Arabelle, Anabelle, Belinda, Elisabeth, Elizabeth, Isabel, Isabell, Isabella, Mabel, Mehitabel, Mirabel, Rosabel, Sybil
Belle                             Mabel, Sybil
Ben                               Benedict, Benjamin, Ebenezer
Beppe, Beppino                    Giuseppe
Bert                              Delbert
Beppl                             Josefa
Beppo                             Josef
Bern                              Bernice
Bert                              Egbert
Bertie                            Albert, Gilbert
Bess, Bessie, Bessy, Beth,
 Bette, Bettie, Bettie, Betsy,
 Betsey, Betty, Bitsy             Bethia, Elisabeth, Elizabeth
Beto                              Alberto
Bev                               Beverly
Biah                              Abiah
Biddie, Biddy                     Bridget, Brigid, Obedience
Bige                              Abijah 
Bill                              William
Bob, Bobbie, Bobby, Dob, Dobbin   Robert
Bobbi, Bobbie                     Roberta
Boots                             Bertha
Bridey, Brie                      Bridget
Briney                            Sabrina
Brook                             Brooklyn
Bud                               Jack
Burt                              Burton, Egbert
Butch                             Butch is a common nickname used to separate "Sr" from "Jr" mainly in cultures with German backgrounds.
                                  Typically the father (Sr) goes by his first name, while the son (Jr) will be referred to as "Butch" by family
                                  and friends.
Cager                             Micajah 
Cal                               Caleb, Calvin
Callie, Carrie                    Caroline
Caddie, Callie, Carrie, Carry,
  Carol                           Caroline, Charlotte
Cassie                            Casalena, Cassandra
Cathy, Caty                       Catharine, Catherine
Cecily                            Cecilia
Chan                              Chauncey 
Cindy                             Cynthia, Cinthia, Luciana, Lucinda
Clara                             Clarissa, Clarinda
Charlie, Chuck                    Charles
Cleda                             Cleophas
Cheri                             Cheryl
Cherie                            Geraldine
Chet                              Chester
Chris                             Christian, Christine, Crystal
Cindy                             Cynthia
Cissy                             Cecilia, Clarissa
Claus                             Nicholas
Cleat                             Cleatus
Clem, Clemmie                     Clement, Clementine
Cliff                             Clifford, Clifton
Clo                               Chloe
Con, Connie, Conny                Conrad, Constance, Cornelia, Cornelius
Cora                              Corinne
Corky                             Courtney
Cory                              Cornelius
Creasey, Crece, Crecy, Crese,
  Crissy                          Lucretia, Christina, Christine
Cuddy                             Cuthbert 
Cy                                Cyrus
Cyndi                             Cynthia
Daisy                             Margaret
Damerl                            Thomas
Dan, Danny                        Daniel
Dave, Davy                        David
Deb, Debbie, Debby                Deborah, Debra
Dee                               Deanne
Deedee                            Diedre
Delia                             Adelia, Adele, Bedelia, Bridget, Cordelia, Fidelia
Della                             Delilah, Drucilla, Druzilla
Delphia                           Philadelphia
Derick                            Frederick
Dewey                             Duane
Di, Didi                          Diana, Diane
Dicey                             Edith, Elisabeth, Elizabeth, Eurydice, Laodicea
Dick                              Richard
Dierk                             Diedrich
Dimmis                            Damaris
Dirch                             Derrick 
Dobbin                            Robert
Doc, Doctor                       name given to 7th child
Dode, Dody                        Dorothy, Theodore
Dodie                             Delores
Dolly, Dot                        Dorothy, Idalia, Margaret, Martha
Donia                             Fredonia
Donnette                          Donnetta
Dora                              Dorothy, Eudora, Isadora, Theodora
Dosia                             Theodosia
Dot, Dotty                        Dorothy
Doug                              Douglas
Drew                              Andrew
Dyer                              Obediah 
Eck                               Alexanr
Ed, Eddie, Eddy                   Edgar, Edmund, Edward, Edwin, Edwina
Edie                              Edith
Effie, Effy                       Euphemia, Evelyn
Elaine                            Eleanor
Eli                               Elias, Elijah, Elisha
Eliza                             Elisabeth, Elizabeth
Ella, Ellen, Ellie                Danielle, Eleanor, Elenora, Elinanifia, Emily, Gabriella, Luella
Elly                              Eleanor, Elisabeth, Elizabeth, Ellen, Helen
Eloise                            Heloise
Elsie                             Alice, Elisabeth, Elizabeth
Emily                             Emeline
Emma, Erma                        Emily
Eph                               Ephraim
Eppa                              Epaphroditus 
Erna                              Earnestine
Ernie                             Earnest, Earnestine
Essie                             Esther, Hester
Etta                              Henrietta, Loretta, Louetta, Marietta
Ev, Eve, Evie                     Evangeline, Evelyn
Fally                             Elipha
Fan, Fannie, Fanny, Frankie       Frances
Fanny                             Nathaniel, Veronica
Fate                              Lafayette 
Fay                               Faith
Felty                             Valentine
Ferdie                            Ferdinand
Fern                              Margaret
Ferry                             Frank, Franz, Xaver
Fina                              Josephine
Fini                              Josefine
Finney                            Phineas
Flo, Flora, Flossie               Florence
Fonzo                             Alfons
Fran, Frank, Frankie              Frances, Francie, Francis, Franklin
Frances                           Franziska
Franzl                            Franz
Fred, Freddie, Fritz              Ferdinand, Fredrick, Frederic, Frederick, Gottfried, Winifred 
Fronie                            Sophronia
Gab, Gabe                         Gabriel
Gabi, Gabby                       Gabriella
Gatty                             Gertrude
Gen                               Genevieve, Virginia
Gene                              Eugene 
Genie, Gennie                     Eugenia, Genevieve
Genny                             Gwenevere
Geoff                             Geoffrey
