americanancestors.org	American Ancestors
ancestry.com	Ancestry
archives.gov	National Archives
billiongraves.com	Billion Graves
chroniclingamerica.loc.gov	Chronicling America
familysearch.org	Family Search
findagrave.com	Find a Grave
findmypast.co.uk	Find My Past (UK)
findmypast.com	Find My Past
fold3.com	Fold3 (Military records)
genealogieonline.nl/en/	Genealogy Online
genealogybank.com	Genealogy Bank
en.geneanet.org	Geneanet
gengophers.com	Genealogy Gophers
geni.com	Geni
myheritage.com	My Heritage
trove.nla.gov.au	Trove (Australia)
gedmatch.com	Gedmatch
familytreedna.com	Family Tree DNA
newspapers.com	Newspapers
openarchives.org	Open Archives
usgenweb.org	The US Gen Web Project
genealogy.com	Genealogy
werelate.org	We Relate
wikitree.com	Wikitree
data.census.gov	United States Census Bureau
loc.gov	Library of Congress
legacy.com	Legacy
accessgenealogy.com	Access Genealogy
nypl.org	New York Public Library
acpl.lib.in.us	Allen County Public Library
freedmensbureau.com	The Freedmen's Bureau Online
jewishgen.org	Museum of Jewish Heritage
archive.org	Wayback Machine
books.google.com	Google Books
dp.la	Digital Public Library of America
hathitrust.org	HathiTrust
jstor.org	JSTOR
fultonhistory.com	Old Fulton New York Postcards
www.seekingmyroots.com	Seeking My Roots
